Timestamp, EleName, EleId, Value, Note
62.0286,Basic Wall:Generic - 200mm:347943,0,correct,
120.0274,Basic Wall:Generic - 200mm:347943,0,incorrect,
120.0274,Basic Wall:Generic - 200mm:347943,0,incorrect,
121.759,Basic Wall:Generic - 200mm:347943,0,correct,
121.759,Basic Wall:Generic - 200mm:347943,0,correct,
122.7088,Basic Wall:Generic - 200mm:350286,1,incorrect,
130.1353,Basic Wall:Generic - 200mm:350286,1,incorrect,1m
178.7086,M_Rectangular Column:475 x 610mm:365844,9,incorrect,
182.4049,M_Rectangular Column:475 x 610mm:365844,9,incorrect,2m
219.1384,Railing:1100mm:349532,2,correct,
237.9548,Switch_-_Double_3951:Double Switch:361458,3,correct,
240.7856,Switch_-_Double_3951:Double Switch:361137,12,correct,
243.5164,Switch_-_Double_3951:Double Switch:361508,13,correct,
253.0748,Assembled Stair:Stair:349153 Run 1,7,correct,
257.6208,Railing:1100mm:349536,8,correct,
274.6761,Assembled Stair:Stair:349153 Stringer 1,4,correct,
285.1007,Basic Wall:Generic - 200mm:347460,5,correct,
301.7874,Assembled Stair:Stair:349153 Stringer 2,6,correct,
310.0312,M_Rectangular Column:475 x 610mm:365701,10,correct,
374.3958,Basic Wall:Generic - 200mm:350060,11,correct,
378.5092,Basic Wall:Generic - 200mm:347656,14,correct,
392.2314,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,correct,
477.8251,PHILIPS_luxspace-light1,16,correct,
480.3574,PHILIPS_luxspace-light2,24,correct,
480.6739,PHILIPS_luxspace-light:377085,25,correct,
522.428,PHILIPS_luxspace-light:378021,17,correct,
525.7767,PHILIPS_luxspace-light:377731,23,correct,
550.7173,LiftSign,18,correct,
592.252,PHILIPS_luxspace-light:376919,26,incorrect,
595.484,PHILIPS_luxspace-light:376919,26,incorrect,1m
609.4631,PHILIPS_luxspace-light:376919,26,incorrect,60cm
620.6091,PHILIPS_luxspace-light:376308,19,correct,
631.4214,PHILIPS_luxspace-light:377282,20,other,
635.2695,PHILIPS_luxspace-light:377282,20,other,35cm
641.2012,Phone,21,correct,
652.4799,PHILIPS_luxspace-light:376148,29,correct,
708.7734,FireExtinguisherSign2,28,correct,
739.4954,ExitSign2,27,correct,
746.6426,ExitSign,22,correct,
