Timestamp, EleName, EleId, Value, Note
0,Basic Wall:Generic - 200mm:347943,0,correct,
0,Basic Wall:Generic - 200mm:347943,0,correct,
83.65932,Basic Wall:Generic - 200mm:347943,0,correct,
137.245,Basic Wall:Generic - 200mm:350286,1,incorrect,
182.5875,Railing:1100mm:349532,2,correct,
215.5243,Switch_-_Double_3951:Double Switch:361458,3,correct,
282.4173,Assembled Stair:Stair:349153 Stringer 1,4,correct,
301.8521,Basic Wall:Generic - 200mm:347460,5,correct,
319.1383,Assembled Stair:Stair:349153 Stringer 2,6,correct,
327.5155,Assembled Stair:Stair:349153 Run 1,7,correct,
368.0165,Railing:1100mm:349536,8,other,
379.5417,Railing:1100mm:349536,8,other,10cm
432.4317,M_Rectangular Column:475 x 610mm:365844,9,incorrect,
466.4549,M_Rectangular Column:475 x 610mm:365701,10,other,
471.0343,M_Rectangular Column:475 x 610mm:365701,10,other,20cm
539.6242,Basic Wall:Generic - 200mm:350060,11,incorrect,
546.7551,Switch_-_Double_3951:Double Switch:361137,12,correct,
552.4023,Switch_-_Double_3951:Double Switch:361508,13,correct,
573.5286,Basic Wall:Generic - 200mm:347656,14,correct,
646.4814,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,correct,
649.4467,LiftSign,18,correct,
698.7957,PHILIPS_luxspace-light:376308,19,correct,
701.9943,PHILIPS_luxspace-light1,16,correct,
702.4274,PHILIPS_luxspace-light:376308,19,correct,
717.738,PHILIPS_luxspace-light:378021,17,correct,
764.3046,PHILIPS_luxspace-light:376308,19,correct,
807.2714,Phone,21,other,
808.2045,Phone,21,other,
808.8376,PHILIPS_luxspace-light:377282,20,incorrect,
826.2148,PHILIPS_luxspace-light:377282,20,incorrect,
828.3473,Phone,21,incorrect,
831.6627,Phone,21,incorrect,
841.4092,Phone,21,correct,
856.5706,ExitSign,22,incorrect,
929.2752,PHILIPS_luxspace-light:377731,23,correct,
946.5021,PHILIPS_luxspace-light2,24,incorrect,
970.0591,PHILIPS_luxspace-light:377085,25,correct,
983.7373,PHILIPS_luxspace-light:376919,26,other,
987.7694,PHILIPS_luxspace-light:376919,26,other,40cm
1044.198,ExitSign2,27,correct,
1066.785,FireExtinguisherSign2,28,other,
1076.807,FireExtinguisherSign2,28,other,40cm
1104.926,PHILIPS_luxspace-light:376148,29,correct,
