Timestamp, EleName, EleId, Value, Note
90.4699,Basic Wall:Generic - 200mm:347943,0,correct,
129.7685,Basic Wall:Generic - 200mm:350286,1,other,
140.2091,Basic Wall:Generic - 200mm:350286,1,other,8cm
156.1949,Railing:1100mm:349532,2,correct,
176.4263,Assembled Stair:Stair:349153 Run 1,7,correct,
244.0659,Assembled Stair:Stair:349153 Stringer 2,6,correct,
268.5286,Assembled Stair:Stair:349153 Stringer 1,4,UNASSIGNED,
277.2719,Assembled Stair:Stair:349153 Stringer 1,4,other,
290.9278,Assembled Stair:Stair:349153 Stringer 1,4,other,15cm
309.0956,Assembled Stair:Stair:349153 Run 1,7,other,
309.0956,Assembled Stair:Stair:349153 Run 1,7,other,
335.4761,Assembled Stair:Stair:349153 Run 1,7,other,7cm
343.5366,Basic Wall:Generic - 200mm:347460,5,UNASSIGNED,7cm
364.7025,Assembled Stair:Stair:349153 Stringer 2,6,correct,
373.1797,Basic Wall:Generic - 200mm:347460,5,other,7cm
393.3794,Basic Wall:Generic - 200mm:347656,14,correct,
410.283,Basic Wall:Generic - 200mm:350060,11,correct,
421.9738,Basic Wall:Generic - 200mm:350286,1,other,8cm
423.0229,Basic Wall:Generic - 200mm:350286,1,incorrect,8cm
423.0229,Basic Wall:Generic - 200mm:350286,1,incorrect,8cm
435.4635,Basic Wall:Generic - 200mm:350286,1,incorrect,1m
460.1265,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,
468.9198,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,3m
499.9001,M_Rectangular Column:475 x 610mm:365844,9,other,
502.7982,M_Rectangular Column:475 x 610mm:365844,9,other,
512.3909,M_Rectangular Column:475 x 610mm:365844,9,other,50cm
533.2532,Switch_-_Double_3951:Double Switch:361458,3,correct,
536.4188,Switch_-_Double_3951:Double Switch:361137,12,other,
561.0946,Switch_-_Double_3951:Double Switch:361137,12,other,12cm
616.7809,Switch_-_Double_3951:Double Switch:361508,13,incorrect,
623.5288,Switch_-_Double_3951:Double Switch:361508,13,incorrect,1m
648.1219,M_Rectangular Column:475 x 610mm:365701,10,correct,
675.7313,PHILIPS_luxspace-light:378021,17,other,
684.0788,PHILIPS_luxspace-light:378021,17,other,10cm
696.8406,PHILIPS_luxspace-light1,16,other,
709.1943,PHILIPS_luxspace-light1,16,other,40cm
720.2913,LiftSign,18,other,
726.8059,LiftSign,18,other,20cm
745.665,PHILIPS_luxspace-light:376308,19,other,
754.7616,PHILIPS_luxspace-light:376308,19,other,30cm
768.658,PHILIPS_luxspace-light:377282,20,other,
774.6225,PHILIPS_luxspace-light:377282,20,other,10cm
789.0347,Phone,21,incorrect,
809.5459,Phone,21,incorrect,4m
824.1247,ExitSign,22,other,
827.8397,ExitSign,22,other,30cm
838.4872,PHILIPS_luxspace-light:377731,23,other,
839.3703,PHILIPS_luxspace-light:377731,23,correct,
839.3703,PHILIPS_luxspace-light:377731,23,correct,
852.6161,PHILIPS_luxspace-light2,24,other,
856.6313,PHILIPS_luxspace-light2,24,other,8cm
865.3281,PHILIPS_luxspace-light:377085,25,correct,
879.0069,PHILIPS_luxspace-light:376919,26,incorrect,
885.3712,PHILIPS_luxspace-light:376919,26,incorrect,2m
902.2986,ExitSign2,27,other,
906.2139,ExitSign2,27,other,50cm
916.8774,FireExtinguisherSign2,28,correct,
924.2916,PHILIPS_luxspace-light:376148,29,other,
927.6405,PHILIPS_luxspace-light:376148,29,other,7cm
957.3815,Railing:1100mm:349536,8,other,
961.1637,Railing:1100mm:349536,8,other,7cm
