Timestamp, EleName, EleId, Value, Note
124.6078,Assembled Stair:Stair:349153 Stringer 1,4,correct,
177.1609,Railing:1100mm:349536,8,correct,
205.003,M_Rectangular Column:475 x 610mm:365701,10,other,
210.8311,M_Rectangular Column:475 x 610mm:365701,10,correct,
210.8311,M_Rectangular Column:475 x 610mm:365701,10,correct,
211.6969,M_Rectangular Column:475 x 610mm:365701,10,other,
211.6969,M_Rectangular Column:475 x 610mm:365701,10,other,
216.2123,M_Rectangular Column:475 x 610mm:365701,10,other,6cm
240.9568,LiftSign,18,other,
247.5175,LiftSign,18,other,6cm
269.6813,Phone,21,incorrect,
276.4597,Phone,21,incorrect,150cm
296.5766,ExitSign,22,other,
302.022,ExitSign,22,other,7cm
320.974,ExitSign2,27,other,
326.6031,ExitSign2,27,other,20cm
337.0284,FireExtinguisherSign2,28,correct,
364.8395,PHILIPS_luxspace-light:376148,29,correct,
379.1949,PHILIPS_luxspace-light:376919,26,other,
388.288,PHILIPS_luxspace-light:376919,26,other,20cm
405.7237,PHILIPS_luxspace-light:377085,25,correct,
444.3899,PHILIPS_luxspace-light2,24,correct,
463.8568,PHILIPS_luxspace-light:377731,23,other,
466.2383,PHILIPS_luxspace-light:377731,23,correct,
466.2383,PHILIPS_luxspace-light:377731,23,correct,
471.6508,PHILIPS_luxspace-light:377731,23,correct,7cm
479.9954,PHILIPS_luxspace-light:377282,20,other,
481.9603,PHILIPS_luxspace-light:377282,20,correct,
481.9603,PHILIPS_luxspace-light:377282,20,correct,
487.3055,PHILIPS_luxspace-light:377282,20,correct,7cm
496.2323,PHILIPS_luxspace-light:376308,19,other,
500.7953,PHILIPS_luxspace-light:376308,19,other,15cm
511.5867,PHILIPS_luxspace-light:378021,17,UNASSIGNED,
532.8778,PHILIPS_luxspace-light:378021,17,correct,
533.7441,PHILIPS_luxspace-light1,16,correct,
534.8436,PHILIPS_luxspace-light1,16,correct,
565.5317,PHILIPS_luxspace-light1,16,other,
570.4467,PHILIPS_luxspace-light1,16,other,20cm
583.3087,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,
588.407,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,100cm
606.2335,Basic Wall:Generic - 200mm:347656,14,correct,
620.3619,Switch_-_Double_3951:Double Switch:361508,13,other,
627.9757,Switch_-_Double_3951:Double Switch:361508,13,other,30cm
636.4059,Basic Wall:Generic - 200mm:350060,11,other,
641.4706,Basic Wall:Generic - 200mm:350060,11,other,10cm
666.2438,Basic Wall:Generic - 200mm:350060,11,other,10cm
669.7756,Switch_-_Double_3951:Double Switch:361137,12,other,
674.974,Switch_-_Double_3951:Double Switch:361137,12,other,10cm
685.1191,Basic Wall:Generic - 200mm:350060,11,correct,10cm
685.1191,Basic Wall:Generic - 200mm:350060,11,correct,10cm
690.1013,Basic Wall:Generic - 200mm:350060,11,correct,
708.4437,M_Rectangular Column:475 x 610mm:365844,9,other,
712.2924,M_Rectangular Column:475 x 610mm:365844,9,other,6cm
719.673,Assembled Stair:Stair:349153 Stringer 2,6,correct,
737.2658,Basic Wall:Generic - 200mm:347460,5,correct,
745.1123,Switch_-_Double_3951:Double Switch:361458,3,correct,
754.8583,Basic Wall:Generic - 200mm:350286,1,correct,
766.3875,Basic Wall:Generic - 200mm:347943,0,correct,
779.3328,Railing:1100mm:349532,2,correct,
789.2625,Assembled Stair:Stair:349153 Run 1,7,correct,
805.6415,PHILIPS_luxspace-light:377282,20,other,7cm
805.6415,PHILIPS_luxspace-light:377282,20,other,7cm
