Timestamp, EleName, EleId, Value, Note
68.15605,Phone,21,UNASSIGNED,on wr9ng wall 3m away
72.58573,Phone,21,UNASSIGNED,on wr9ng wall 3m away
80.6622,Phone,21,UNASSIGNED,on wrong wall 3m away
82.8602,Phone,21,incorrect,on wrong wall 3m away
131.4839,Basic Wall:Generic - 200mm:347460,5,correct,
141.807,Basic Wall:Generic - 200mm:350060,11,correct,
154.8269,Basic Wall:Generic - 200mm:347656,14,correct,
170.3125,Basic Wall:Generic - 200mm:347943,0,correct,
183.4823,Switch_-_Double_3951:Double Switch:361137,12,other,
193.54,Switch_-_Double_3951:Double Switch:361137,12,other,10cm too high
198.9346,Switch_-_Double_3951:Double Switch:361458,3,correct,
204.1803,Switch_-_Double_3951:Double Switch:361508,13,incorrect,
218.1508,Switch_-_Double_3951:Double Switch:361508,13,incorrect,1m to the right
246.2241,Assembled Stair:Stair:349153 Run 1,7,correct,
282.9822,Assembled Stair:Stair:349153 Stringer 1,4,correct,
294.8419,Assembled Stair:Stair:349153 Stringer 2,6,correct,
327.9891,M_Rectangular Column:475 x 610mm:365844,9,other,
340.2622,M_Rectangular Column:475 x 610mm:365844,9,other,50cm away
367.4804,Basic Wall:Generic - 200mm:347460,5,correct,
368.1467,Basic Wall:Generic - 200mm:347460,5,correct,
369.0628,M_Rectangular Column:475 x 610mm:365701,10,correct,
414.3665,Basic Wall:Generic - 200mm:350286,1,other,
439.9987,Basic Wall:Generic - 200mm:350286,1,other,slighty wrong roation
462.5191,Railing:1100mm:349532,2,correct,
468.9152,Railing:1100mm:349536,8,correct,
485.7862,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,
497.3446,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,on wrong wall
594.6605,ExitSign,22,UNASSIGNED,
594.6605,PHILIPS_luxspace-light:377282,20,UNASSIGNED,
594.7938,ExitSign,22,UNASSIGNED,
600.7247,PHILIPS_luxspace-light:377282,20,UNASSIGNED,
