Timestamp, EleName, EleId, Value, Note
0,Switch_-_Double_3951:Double Switch:361458,3,UNASSIGNED,
0,Basic Wall:Generic - 200mm:347943,0,correct,
0,Basic Wall:Generic - 200mm:350286,1,correct,
0,Railing:1100mm:349532,2,correct,
16.95158,Switch_-_Double_3951:Double Switch:361458,3,correct,
31.90496,Assembled Stair:Stair:349153 Stringer 1,4,correct,
41.14686,Basic Wall:Generic - 200mm:347460,5,correct,
46.62542,Assembled Stair:Stair:349153 Stringer 2,6,correct,
54.26879,Assembled Stair:Stair:349153 Run 1,7,correct,
59.06437,Railing:1100mm:349536,8,correct,
63.31062,M_Rectangular Column:475 x 610mm:365844,9,correct,
66.5078,M_Rectangular Column:475 x 610mm:365701,10,correct,
78.93127,Basic Wall:Generic - 200mm:350060,11,correct,
112.0188,Switch_-_Double_3951:Double Switch:361137,12,correct,
126.0395,Switch_-_Double_3951:Double Switch:361508,13,other,
126.689,Switch_-_Double_3951:Double Switch:361137,12,other,
126.689,Switch_-_Double_3951:Double Switch:361137,12,other,
138.8782,Switch_-_Double_3951:Double Switch:361508,13,other,5cm
143.441,Switch_-_Double_3951:Double Switch:361137,12,other,5cm
163.9053,Basic Wall:Generic - 200mm:347656,14,correct,
177.9935,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,correct,
186.9352,PHILIPS_luxspace-light1,16,incorrect,
205.0521,PHILIPS_luxspace-light1,16,incorrect,
219.639,PHILIPS_luxspace-light1,16,other,
219.639,PHILIPS_luxspace-light1,16,other,
229.7298,PHILIPS_luxspace-light1,16,other,mqybe 6cm
247.7809,PHILIPS_luxspace-light:378021,17,correct,
287.2461,PHILIPS_luxspace-light:376308,19,correct,
287.9625,LiftSign,18,correct,
288.3789,PHILIPS_luxspace-light:376308,19,correct,
317.7366,PHILIPS_luxspace-light:376308,19,correct,
329.5433,PHILIPS_luxspace-light:377282,20,correct,
359.0515,Phone,21,other,
369.709,Phone,21,other,7cm
384.5299,ExitSign,22,correct,
402.1177,PHILIPS_luxspace-light:377731,23,correct,
420.1525,PHILIPS_luxspace-light:377731,23,correct,
422.4012,PHILIPS_luxspace-light:377731,23,incorrect,
428.5795,PHILIPS_luxspace-light:377731,23,incorrect,10cm
433.1588,PHILIPS_luxspace-light2,24,correct,
448.1471,PHILIPS_luxspace-light:377085,25,correct,
453.6274,PHILIPS_luxspace-light:376919,26,correct,
461.9049,PHILIPS_luxspace-light:377085,25,other,
461.9049,PHILIPS_luxspace-light:377085,25,other,
466.4346,PHILIPS_luxspace-light:377085,25,other,7cm
