Timestamp, EleName, EleId, Value, Note
50.07218,Basic Wall:Generic - 200mm:347943,0,correct,
66.34095,Basic Wall:Generic - 200mm:350286,1,other,
82.27675,Railing:1100mm:349532,2,correct,
87.83845,Switch_-_Double_3951:Double Switch:361458,3,correct,
107.5709,Assembled Stair:Stair:349153 Stringer 1,4,other,
116.2466,Assembled Stair:Stair:349153 Stringer 1,4,other,bit to the left
131.5502,Basic Wall:Generic - 200mm:347460,5,correct,
150.8978,Switch_-_Double_3951:Double Switch:361137,12,other,
173.6435,Switch_-_Double_3951:Double Switch:361137,12,other,too low 5cm or so
177.7562,Switch_-_Double_3951:Double Switch:361458,3,other,
177.7562,Switch_-_Double_3951:Double Switch:361458,3,other,
178.4058,Switch_-_Double_3951:Double Switch:361458,3,correct,
178.4058,Switch_-_Double_3951:Double Switch:361458,3,correct,
186.8984,Switch_-_Double_3951:Double Switch:361508,13,incorrect,
212.2587,Switch_-_Double_3951:Double Switch:361508,13,incorrect,very far away 70cm
234.5041,Basic Wall:Generic - 200mm:350060,11,other,
243.7619,Basic Wall:Generic - 200mm:350060,11,correct,
243.7619,Basic Wall:Generic - 200mm:350060,11,correct,
250.2553,Basic Wall:Generic - 200mm:347656,14,correct,
292.9644,Phone,21,incorrect,
305.172,Phone,21,incorrect,on opposite wall
334.9382,Assembled Stair:Stair:349153 Stringer 2,6,correct,
369.5479,Assembled Stair:Stair:349153 Run 1,7,correct,
386.7526,Railing:1100mm:349536,8,correct,
397.4954,Railing:1100mm:349536,8,other,
397.4954,Railing:1100mm:349536,8,other,
419.0613,Railing:1100mm:349536,8,other,a bit close to stairs just over 5cm
435.2501,M_Rectangular Column:475 x 610mm:365844,9,other,
453.8858,M_Rectangular Column:475 x 610mm:365844,9,other,a bit to the right 10cm
471.6049,M_Rectangular Column:475 x 610mm:365844,9,other,a bit to the right in front of stairs 10cm
478.9665,M_Rectangular Column:475 x 610mm:365701,10,correct,
491.1422,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,
513.259,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,on other side of elevator door 150cm
522.6726,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,on other side of elevator door 120cm
533.9856,PHILIPS_luxspace-light1,16,other,
545.811,PHILIPS_luxspace-light1,16,other,7cm close4 to stairs
551.5422,PHILIPS_luxspace-light1,16,other,7cm closer to stairs
561.173,PHILIPS_luxspace-light:378021,17,correct,
576.5008,LiftSign,18,other,
585.9809,LiftSign,18,other,a bit off 8cm
599.444,PHILIPS_luxspace-light:376308,19,other,
613.9388,PHILIPS_luxspace-light:376308,19,other,a bit closer to stairs 10cm
618.6541,PHILIPS_luxspace-light:377282,20,correct,
631.8179,ExitSign,22,other,
637.9819,ExitSign,22,other,15cm off
644.2134,PHILIPS_luxspace-light:377731,23,correct,
656.4773,PHILIPS_luxspace-light2,24,correct,
665.3586,PHILIPS_luxspace-light:377085,25,correct,
671.6742,PHILIPS_luxspace-light:376919,26,incorrect,
688.002,PHILIPS_luxspace-light:376919,26,incorrect,very far off 70cm
699.4319,ExitSign2,27,other,
707.8448,ExitSign2,27,other,move right 5cm
714.4761,ExitSign2,27,other,move right 10cm
722.2399,FireExtinguisherSign2,28,correct,
726.2726,PHILIPS_luxspace-light:376148,29,correct,
