Timestamp, EleName, EleId, Value, Note
0,Basic Wall:Generic - 200mm:347943,0,UNASSIGNED,
109.453,M_Rectangular Column:475 x 610mm:365844,9,incorrect,
119.5773,M_Rectangular Column:475 x 610mm:365701,10,correct,
127.7034,Basic Wall:Generic - 200mm:350060,11,UNASSIGNED,
130.9007,Basic Wall:Generic - 200mm:350060,11,UNASSIGNED,
166.8352,Switch_-_Double_3951:Double Switch:361137,12,correct,
169.0498,Switch_-_Double_3951:Double Switch:361508,13,correct,
173.2298,Switch_-_Double_3951:Double Switch:361458,3,correct,
203.6527,Basic Wall:Generic - 200mm:347943,0,correct,
252.6088,Railing:1100mm:349532,2,correct,
317.7368,M_Rectangular Column:475 x 610mm:365844,9,incorrect,30cm
348.2964,Basic Wall:Generic - 200mm:350286,1,correct,
364.1157,Assembled Stair:Stair:349153 Stringer 1,4,correct,
369.8273,Basic Wall:Generic - 200mm:347460,5,correct,
378.3708,Assembled Stair:Stair:349153 Stringer 2,6,correct,
410.0937,Assembled Stair:Stair:349153 Run 1,7,other,
425.3321,Assembled Stair:Stair:349153 Run 1,7,other,5cm
432.2103,Railing:1100mm:349536,8,correct,
504.9174,Basic Wall:Generic - 200mm:350060,11,other,
517.0114,Basic Wall:Generic - 200mm:350060,11,other,
523.7592,Basic Wall:Generic - 200mm:350060,11,other,10cm
569.3094,Basic Wall:Generic - 200mm:347656,14,UNASSIGNED,40cm
570.259,Basic Wall:Generic - 200mm:347656,14,incorrect,40cm
585.2862,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,correct,
613.574,PHILIPS_luxspace-light1,16,correct,
628.1846,PHILIPS_luxspace-light:378021,17,correct,
646.2109,LiftSign,18,correct,
722.5448,PHILIPS_luxspace-light:376308,19,UNASSIGNED,
729.4255,PHILIPS_luxspace-light:376308,19,UNASSIGNED,3cm
730.1585,PHILIPS_luxspace-light:376308,19,other,3cm
747.6184,PHILIPS_luxspace-light:377282,20,UNASSIGNED,3cm
748.2681,PHILIPS_luxspace-light:377282,20,other,3cm
776.9556,Phone,21,correct,
805.7607,ExitSign,22,other,
816.6741,ExitSign,22,other,7cm
849.7444,PHILIPS_luxspace-light:377731,23,correct,
865.5877,PHILIPS_luxspace-light2,24,UNASSIGNED,5cm
866.4208,PHILIPS_luxspace-light2,24,correct,5cm
882.1167,PHILIPS_luxspace-light:377085,25,correct,
901.4096,PHILIPS_luxspace-light:376919,26,UNASSIGNED,60cm
902.7091,PHILIPS_luxspace-light:376919,26,incorrect,60cm
960.7184,ExitSign2,27,correct,
967.5825,FireExtinguisherSign2,28,correct,
986.5422,PHILIPS_luxspace-light:376148,29,UNASSIGNED,20
990.524,PHILIPS_luxspace-light:376148,29,UNASSIGNED,20cm
996.3387,PHILIPS_luxspace-light:376148,29,incorrect,20cm
1014.283,PHILIPS_luxspace-light:376919,26,incorrect,60cm
1025.475,Assembled Stair:Stair:349153 Run 1,7,correct,5cm
1025.475,Assembled Stair:Stair:349153 Run 1,7,correct,5cm
1037.052,PHILIPS_luxspace-light:376308,19,correct,3cm
1037.052,PHILIPS_luxspace-light:376308,19,correct,3cm
1040.26,PHILIPS_luxspace-light:377282,20,correct,3cm
1040.26,PHILIPS_luxspace-light:377282,20,correct,3cm
