Timestamp, EleName, EleId, Value, Note
13.42186,Basic Wall:Generic - 200mm:347943,0,correct,
40.43146,M_Rectangular Column:475 x 610mm:365701,10,UNASSIGNED,
49.2401,Basic Wall:Generic - 200mm:347460,5,correct,
73.23534,Basic Wall:Generic - 200mm:347656,14,other,
78.23096,Basic Wall:Generic - 200mm:347656,14,other,30cm
94.55044,Basic Wall:Generic - 200mm:350060,11,incorrect,
106.3732,Basic Wall:Generic - 200mm:350060,11,incorrect,
108.6379,Basic Wall:Generic - 200mm:350060,11,other,
108.6379,Basic Wall:Generic - 200mm:350060,11,other,
114.7659,Basic Wall:Generic - 200mm:350060,11,other,50cm
123.5581,Basic Wall:Generic - 200mm:350286,1,other,
124.1076,Basic Wall:Generic - 200mm:350286,1,other,
124.4073,Basic Wall:Generic - 200mm:350286,1,incorrect,
131.9837,Basic Wall:Generic - 200mm:350286,1,incorrect,60cm
203.2037,M_Rectangular Column:475 x 610mm:365701,10,correct,
212.2952,M_Rectangular Column:475 x 610mm:365844,9,incorrect,
224.8344,M_Rectangular Column:475 x 610mm:365701,10,correct,100cm
231.5613,M_Rectangular Column:475 x 610mm:365701,10,correct,
236.9901,M_Rectangular Column:475 x 610mm:365844,9,incorrect,100cm
273.0445,PHILIPS_luxspace-light:376308,19,other,
276.2751,PHILIPS_luxspace-light:376308,19,other,
277.3577,PHILIPS_luxspace-light:376308,19,correct,
277.3577,PHILIPS_luxspace-light:376308,19,correct,
278.5235,PHILIPS_luxspace-light:376148,29,other,
286.1174,PHILIPS_luxspace-light:376148,29,other,
287.0667,PHILIPS_luxspace-light:376148,29,correct,
287.0667,PHILIPS_luxspace-light:376148,29,correct,
309.5488,PHILIPS_luxspace-light:376919,26,incorrect,
327.9343,PHILIPS_luxspace-light:376919,26,incorrect,
329.1336,PHILIPS_luxspace-light:376919,26,other,
329.1336,PHILIPS_luxspace-light:376919,26,other,
332.848,PHILIPS_luxspace-light:376919,26,other,50cm
358.6434,PHILIPS_luxspace-light:377085,25,correct,
400.159,PHILIPS_luxspace-light:377282,20,other,
403.6733,PHILIPS_luxspace-light:377282,20,other,30cm
430.4399,M_Rectangular Column:475 x 610mm:365701,10,other,
430.4399,M_Rectangular Column:475 x 610mm:365701,10,other,
439.5667,M_Rectangular Column:475 x 610mm:365701,10,other,30cm
451.1247,PHILIPS_luxspace-light:377731,23,correct,
463.8642,PHILIPS_luxspace-light:378021,17,correct,
484.6635,PHILIPS_luxspace-light1,16,correct,
504.6294,PHILIPS_luxspace-light2,24,correct,
535.7978,Phone,21,other,
541.1785,Phone,21,other,40cm
565.7525,Railing:1100mm:349532,2,correct,
566.7855,Railing:1100mm:349536,8,other,
573.8745,Railing:1100mm:349536,8,other,10cm
599.1639,Switch_-_Double_3951:Double Switch:361137,12,correct,
600.8968,Switch_-_Double_3951:Double Switch:361458,3,correct,
601.0801,Switch_-_Double_3951:Double Switch:361508,13,correct,
636.6503,LiftSign,18,other,
637.6832,LiftSign,18,other,
637.8998,FireExtinguisherSign2,28,other,
642.2817,FireExtinguisherSign2,28,other,40cm
647.2633,FireExtinguisherSign2,28,other,30cm
658.493,ExitSign2,27,correct,
660.7751,ExitSign2,27,correct,
660.9251,ExitSign,22,correct,
700.0929,ExitSign2,27,correct,
700.726,ExitSign2,27,other,
700.726,ExitSign2,27,other,
705.0413,ExitSign2,27,other,30cm
738.7454,Assembled Stair:Stair:349153 Run 1,7,correct,
738.9454,Assembled Stair:Stair:349153 Stringer 1,4,correct,
739.1287,Assembled Stair:Stair:349153 Stringer 2,6,correct,
815.1812,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,correct,
826.6434,LiftSign,18,correct,
