Timestamp, EleName, EleId, Value, Note
324.2704,FireExtinguisherSign2,28,incorrect,
407.2688,FireExtinguisherSign2,28,incorrect,300cm
1250.879,ExitSign,22,incorrect,
1301.335,ExitSign,22,incorrect,300cm
1372.875,PHILIPS_luxspace-light:376919,26,correct,
1391.474,M_Rectangular Column:475 x 610mm:365844,9,correct,
1391.923,M_Rectangular Column:475 x 610mm:365701,10,correct,
1416.894,ExitSign2,27,other,
1448.706,PHILIPS_luxspace-light:377282,20,correct,
1461.536,Basic Wall:Generic - 200mm:347943,0,correct,
1484.636,Basic Wall:Generic - 200mm:350286,1,correct,
1490.753,Railing:1100mm:349532,2,correct,
1495.256,Assembled Stair:Stair:349153 Stringer 1,4,correct,
1500.425,Railing:1100mm:349536,8,correct,
1552.583,M_Rectangular Column:475 x 610mm:365844,9,other,
1552.583,M_Rectangular Column:475 x 610mm:365844,9,other,
1554.278,M_Rectangular Column:475 x 610mm:365701,10,other,
1554.278,M_Rectangular Column:475 x 610mm:365701,10,other,
1609.343,M_Rectangular Column:475 x 610mm:365844,9,other,40cm
1617.32,M_Rectangular Column:475 x 610mm:365844,9,other,40cm
1622.875,M_Rectangular Column:475 x 610mm:365701,10,other,40cm
1633.261,Assembled Stair:Stair:349153 Run 1,7,other,
1637.134,Assembled Stair:Stair:349153 Run 1,7,other,
1640.325,Assembled Stair:Stair:349153 Run 1,7,correct,
1641.039,Assembled Stair:Stair:349153 Run 1,7,correct,
1641.471,Assembled Stair:Stair:349153 Run 1,7,other,
1649.018,Assembled Stair:Stair:349153 Run 1,7,other,20cm
1681.958,LiftSign,18,other,
1692.629,LiftSign,18,other,30 m
1712.221,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,other,
1730.353,Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,other,10 cm
1863.63,Switch_-_Double_3951:Double Switch:361137,12,other,
1886.038,Switch_-_Double_3951:Double Switch:361137,12,other,10cm
1953.228,PHILIPS_luxspace-light:378021,17,correct,
1959.396,PHILIPS_luxspace-light1,16,correct,
1974.923,ExitSign,22,other,300cm
1974.923,ExitSign,22,other,300cm
1984.717,PHILIPS_luxspace-light:377731,23,correct,
2112.399,Assembled Stair:Stair:349153 Stringer 2,6,other,
2124.92,Assembled Stair:Stair:349153 Stringer 2,6,other,10cm
2138.122,Basic Wall:Generic - 200mm:350060,11,correct,
2152.468,Switch_-_Double_3951:Double Switch:361508,13,correct,
2162.181,Basic Wall:Generic - 200mm:347656,14,correct,
2170.933,PHILIPS_luxspace-light:376308,19,correct,
2181.974,Phone,21,other,
2186.008,Phone,21,other,10cm
2202.099,PHILIPS_luxspace-light2,24,other,
2210.902,PHILIPS_luxspace-light2,24,other,15cm
2224.269,PHILIPS_luxspace-light:377085,25,correct,
2237.006,PHILIPS_luxspace-light:376148,29,correct,
2326.648,ExitSign2,27,other,200cm
2354.064,Basic Wall:Generic - 200mm:347460,5,correct,
2399.994,Switch_-_Double_3951:Double Switch:361458,3,correct,
