EleName, EleId, Value, Note
Basic Wall:Generic - 200mm:347943,0,correct,
Basic Wall:Generic - 200mm:350286,1,other,
Railing:1100mm:349532,2,correct,
Switch_-_Double_3951:Double Switch:361458,3,correct,
Assembled Stair:Stair:349153 Stringer 1,4,other,bit to the left
Basic Wall:Generic - 200mm:347460,5,correct,
Assembled Stair:Stair:349153 Stringer 2,6,correct,
Assembled Stair:Stair:349153 Run 1,7,correct,
Railing:1100mm:349536,8,other,a bit close to stairs just over 5cm
M_Rectangular Column:475 x 610mm:365844,9,other,a bit to the right in front of stairs 10cm
M_Rectangular Column:475 x 610mm:365701,10,correct,
Basic Wall:Generic - 200mm:350060,11,correct,
Switch_-_Double_3951:Double Switch:361137,12,other,too low 5cm or so
Switch_-_Double_3951:Double Switch:361508,13,incorrect,very far away 70cm
Basic Wall:Generic - 200mm:347656,14,correct,
Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,incorrect,on other side of elevator door 120cm
PHILIPS_luxspace-light1,16,other,7cm closer to stairs
PHILIPS_luxspace-light:378021,17,correct,
LiftSign,18,other,a bit off 8cm
PHILIPS_luxspace-light:376308,19,other,a bit closer to stairs 10cm
PHILIPS_luxspace-light:377282,20,correct,
Phone,21,incorrect,on opposite wall
ExitSign,22,other,15cm off
PHILIPS_luxspace-light:377731,23,correct,
PHILIPS_luxspace-light2,24,correct,
PHILIPS_luxspace-light:377085,25,correct,
PHILIPS_luxspace-light:376919,26,incorrect,very far off 70cm
ExitSign2,27,other,move right 10cm
FireExtinguisherSign2,28,correct,
PHILIPS_luxspace-light:376148,29,correct,
