EleName, EleId, Value, Note
Basic Wall:Generic - 200mm:347943,0,correct,
Basic Wall:Generic - 200mm:350286,1,correct,
Railing:1100mm:349532,2,correct,
Switch_-_Double_3951:Double Switch:361458,3,correct,
Assembled Stair:Stair:349153 Stringer 1,4,correct,
Basic Wall:Generic - 200mm:347460,5,correct,
Assembled Stair:Stair:349153 Stringer 2,6,correct,
Assembled Stair:Stair:349153 Run 1,7,correct,
Railing:1100mm:349536,8,other,slighty out of place 6cm
M_Rectangular Column:475 x 610mm:365844,9,incorrect,about 1m too far away
M_Rectangular Column:475 x 610mm:365701,10,correct,
Basic Wall:Generic - 200mm:350060,11,incorrect,wrong orienation
Switch_-_Double_3951:Double Switch:361137,12,correct,
Switch_-_Double_3951:Double Switch:361508,13,correct,
Basic Wall:Generic - 200mm:347656,14,incorrect,wrong roation
Elevator_Call_Panel_7484:Elevator_Call_5355:370679,15,correct,assuming is correct based little info
PHILIPS_luxspace-light1,16,correct,
PHILIPS_luxspace-light:378021,17,correct,
LiftSign,18,other,too far away from 19
PHILIPS_luxspace-light:376308,19,correct,
PHILIPS_luxspace-light:377282,20,other,30 cm to close to 12
Phone,21,other,off due to wall roation
ExitSign,22,correct,
PHILIPS_luxspace-light:377731,23,other,half way down wall
PHILIPS_luxspace-light2,24,other,out of wligment from the pillar
PHILIPS_luxspace-light:377085,25,other,too low
PHILIPS_luxspace-light:376919,26,correct,
ExitSign2,27,correct,
FireExtinguisherSign2,28,correct,
PHILIPS_luxspace-light:376148,29,correct,on stairs
