Timestamp, x, y, z
0.02,8.34465E-07,0.9999999,-8.344673E-09
0.04,8.34465E-07,0.9999999,-8.344673E-09
0.3733333,8.34465E-07,0.9999999,-8.344673E-09
0.4105507,8.34465E-07,0.9999999,-8.344673E-09
0.4665798,8.34465E-07,0.9999999,-8.344673E-09
0.4837069,8.34465E-07,0.9999999,-8.344673E-09
0.5058614,8.34465E-07,0.9999999,-8.344673E-09
0.521512,8.34465E-07,0.9999999,-8.344673E-09
0.5426773,8.34465E-07,0.9999999,-8.344673E-09
0.5603951,8.34465E-07,0.9999999,-8.344673E-09
0.5658826,8.34465E-07,0.9999999,-8.344673E-09
0.5699585,8.34465E-07,0.9999999,-8.344673E-09
0.5743955,8.34465E-07,0.9999999,-8.344673E-09
0.5794227,8.34465E-07,0.9999999,-8.344673E-09
0.5838757,8.34465E-07,0.9999999,-8.344673E-09
0.5907363,8.34465E-07,0.9999999,-8.344673E-09
0.6000797,8.34465E-07,0.9999999,-8.344673E-09
0.6089609,8.34465E-07,0.9999999,-8.344673E-09
0.6186802,8.34465E-07,0.9999999,-8.344673E-09
0.6288932,8.34465E-07,0.9999999,-8.344673E-09
0.648866,8.34465E-07,0.9999999,-8.344673E-09
0.6555193,8.34465E-07,0.9999999,-8.344673E-09
0.6658041,8.34465E-07,0.9999999,-8.344673E-09
0.7005594,8.34465E-07,0.9999999,-8.344673E-09
0.7173887,8.34465E-07,0.9999999,-8.344673E-09
0.7203895,8.34465E-07,0.9999999,-8.344673E-09
0.7242854,8.34465E-07,0.9999999,-8.344673E-09
0.7282119,8.34465E-07,0.9999999,-8.344673E-09
0.7316021,8.34465E-07,0.9999999,-8.344673E-09
0.7360532,8.34465E-07,0.9999999,-8.344673E-09
0.744372,8.34465E-07,0.9999999,-8.344673E-09
0.7531902,8.34465E-07,0.9999999,-8.344673E-09
0.7613149,8.34465E-07,0.9999999,-8.344673E-09
0.7690273,8.34465E-07,0.9999999,-8.344673E-09
0.7766962,8.34465E-07,0.9999999,-8.344673E-09
0.7841989,8.34465E-07,0.9999999,-8.344673E-09
0.7918859,8.34465E-07,0.9999999,-8.344673E-09
0.7998207,8.34465E-07,0.9999999,-8.344673E-09
0.8066822,8.34465E-07,0.9999999,-8.344673E-09
0.8155003,8.34465E-07,0.9999999,-8.344673E-09
0.8223207,8.34465E-07,0.9999999,-8.344673E-09
0.8482269,8.34465E-07,0.9999999,-8.344673E-09
0.8521087,8.34465E-07,0.9999999,-8.344673E-09
0.8564475,8.34465E-07,0.9999999,-8.344673E-09
0.8607493,8.34465E-07,0.9999999,-8.344673E-09
0.8648874,8.34465E-07,0.9999999,-8.344673E-09
0.8685402,8.34465E-07,0.9999999,-8.344673E-09
0.871924,8.34465E-07,0.9999999,-8.344673E-09
0.8791461,8.34465E-07,0.9999999,-8.344673E-09
0.8855149,8.34465E-07,0.9999999,-8.344673E-09
0.8919981,8.34465E-07,0.9999999,-8.344673E-09
0.8994777,8.34465E-07,0.9999999,-8.344673E-09
0.9062055,8.34465E-07,0.9999999,-8.344673E-09
0.9127663,8.34465E-07,0.9999999,-8.344673E-09
0.91894,8.34465E-07,0.9999999,-8.344673E-09
0.9251462,8.34465E-07,0.9999999,-8.344673E-09
0.9323052,8.34465E-07,0.9999999,-8.344673E-09
0.9374493,8.34465E-07,0.9999999,-8.344673E-09
0.9430867,8.34465E-07,0.9999999,-8.344673E-09
0.9489867,8.34465E-07,0.9999999,-8.344673E-09
0.9552929,8.34465E-07,0.9999999,-8.344673E-09
0.9609159,8.34465E-07,0.9999999,-8.344673E-09
0.9665215,8.34465E-07,0.9999999,-8.344673E-09
0.9729236,8.34465E-07,0.9999999,-8.344673E-09
0.9953515,8.34465E-07,0.9999999,-8.344673E-09
0.9989208,8.34465E-07,0.9999999,-8.344673E-09
1.003893,8.34465E-07,0.9999999,-8.344673E-09
1.008378,8.34465E-07,0.9999999,-8.344673E-09
1.012794,8.34465E-07,0.9999999,-8.344673E-09
1.016342,8.34465E-07,0.9999999,-8.344673E-09
