Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.1356085,0.9119173,-0.1769753,-0.3256609,359.0111,270.6592,-1.142315E-07,-0.4942735,0.07648331,1.441731,6.231601,143.1915,357.0131
0.2666729,0.9089049,-0.3423809,-0.3658945,359.0111,270.6592,-1.142315E-07,-0.4885334,0.05132686,1.438383,14.45007,141.0302,357.4405
0.368329,0.904029,-0.7562054,-0.1330384,359.0111,270.6592,-1.142315E-07,-0.4972833,0.01467798,1.438094,29.67604,134.3468,352.7099
0.5019549,0.8996187,-1.168934,0.09861536,359.0111,270.6592,-1.142315E-07,-0.5025544,-0.002724171,1.431778,34.51934,132.1676,346.2193
0.6022307,0.8974239,-1.341141,0.1358118,359.0111,270.6592,-1.142315E-07,-0.4992434,-0.007668241,1.433559,37.6163,132.6749,347.0608
0.7365882,0.6424829,-1.231889,0.33767,322.3497,314.1401,1.387191E-06,-0.4852149,-0.01408315,1.446614,40.65242,133.7336,351.47
0.8379558,0.6601406,-1.258696,0.378375,321.489,313.038,1.074357E-06,-0.4749951,-0.01333795,1.452024,38.72793,131.0842,354.3737
0.9665268,0.8982134,-1.391551,0.2917014,359.0111,270.6592,-1.142315E-07,-0.476647,-0.01028411,1.455226,36.66662,129.1061,356.1414
1.06706,0.8993704,-1.328403,0.3259437,358.9872,270.6519,5.839723E-09,-0.4780565,-0.01158212,1.445725,36.38871,129.6394,354.2325
1.171539,0.6629284,-1.35617,0.5064083,317.6678,309.4137,-1.205533E-06,-0.4842284,-0.00430897,1.441983,55.53237,127.0257,353.5341
1.300798,0.8983435,-1.422725,0.3667351,358.9872,270.6519,5.839723E-09,-0.4826097,-0.006570654,1.451028,37.59501,126.1794,353.4232
1.401956,0.8981826,-1.437912,0.3754984,358.9872,270.6519,5.839723E-09,-0.4937146,-6.809784E-05,1.449395,38.49786,128.5221,355.2938
