Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.1338173,0.8457221,1.241305,0.1886811,40.30169,230.0386,-1.677573E-06,-0.3212462,-0.05607264,-0.791217,321.509,51.25385,359.8765
0.2660854,0.8538783,1.228819,0.1980853,39.89117,230.0917,8.415979E-07,-0.3256266,-0.05712084,-0.7836541,320.6472,49.55884,358.7033
0.3663456,0.9090068,1.138371,0.2369117,36.86422,230.4557,-2.221542E-06,-0.3237684,-0.06557791,-0.7798855,324.6709,51.1671,353.8376
0.4672905,0.9496881,1.099711,0.2289674,35.65097,231.5029,-9.618865E-07,-0.3208715,-0.0699054,-0.7836148,325.1486,51.91991,355.5967
0.599095,1.004212,1.051699,0.2114601,34.05366,233.1181,-1.007805E-06,-0.3204206,-0.06695121,-0.7831382,325.4197,53.6587,354.2454
0.7329207,1.007154,1.076525,0.1823554,34.89593,233.9677,1.209072E-06,-0.3195998,-0.06870344,-0.7810383,325.3279,54.31717,355.4959
0.8347332,1.029411,1.060139,0.1726029,34.31503,234.7377,-1.11819E-06,-0.3191233,-0.06710319,-0.7807981,325.5698,55.34352,353.026
0.9670228,1.05527,1.046596,0.1473888,33.89725,235.9708,-8.535325E-07,-0.3208214,-0.06941395,-0.7817534,326.3484,55.95805,354.2018
1.09948,1.073776,1.024513,0.1426724,33.24741,236.572,2.930459E-06,-0.32235,-0.0734156,-0.7785314,326.834,56.49289,353.728
1.199735,1.099207,0.9818236,0.1499179,31.88235,236.8779,-2.821238E-06,-0.3232796,-0.07488553,-0.777526,328.3706,56.71465,354.4229
1.332313,1.096206,0.9682247,0.1696056,31.52438,236.33,6.923548E-07,-0.3230825,-0.07823507,-0.7752905,328.676,56.24453,356.447
1.432772,1.293013,0.7693568,0.01165442,25.4905,243.8425,1.342711E-06,-0.3277094,-0.09223506,-0.7851864,334.9433,64.73609,354.6855
1.533238,1.241634,0.8537039,0.03076649,27.84955,242.7383,-1.969594E-06,-0.3300224,-0.0803768,-0.7790159,331.9326,62.68248,3.941646
1.633744,1.292264,0.7476724,0.03941494,24.7663,243.1609,-2.657105E-06,-0.3281315,-0.09015226,-0.7805454,335.262,63.17122,2.120942
1.734394,1.323081,0.7214887,-0.003084171,23.95276,244.6994,2.125546E-06,-0.3293574,-0.09047787,-0.7842112,336.0472,64.69934,4.157838
1.867081,1.339657,0.648016,0.04131608,21.76894,243.608,2.331147E-06,-0.32413,-0.09371276,-0.7843061,338.2311,63.60798,3.514828
1.968434,1.387026,0.4282548,0.09284829,15.01293,243.0513,1.978738E-07,-0.3375548,-0.0879012,-0.7828452,348.3567,62.29209,2.447197
2.069075,1.428984,0.08261307,0.1231134,4.90197,242.7887,1.287284E-07,-0.3512543,-0.08644931,-0.7938867,4.568373,62.8046,2.453476
2.199388,3.698678,-0.998095,1.23574,359.9142,321.4979,1.59416E-09,-0.3660941,-0.07367383,-0.8032331,20.40696,63.63042,2.85806
2.299529,1.249526,-0.9126713,0.01500217,335.0733,243.1529,-2.801136E-07,-0.3774323,-0.06130459,-0.8087792,36.30943,62.89122,2.071543
2.39958,1.088274,-1.188097,-0.03908208,325.7479,242.2984,-1.877366E-07,-0.3784589,-0.06001058,-0.8090614,36.00371,61.43464,1.677599
2.532031,1.05605,-1.215874,-0.02863175,324.6879,241.4361,7.140461E-08,-0.3780865,-0.05926734,-0.8096491,35.18754,60.6915,1.9038
2.632995,1.062541,-1.194808,-0.01416414,325.4034,241.0917,5.734576E-07,-0.3793135,-0.05947857,-0.8104464,33.44811,60.7128,2.817301
2.735099,1.080612,-1.143673,0.0232753,327.1661,240.3116,-1.216821E-06,-0.3804594,-0.05783832,-0.8073511,31.79893,59.58303,2.301729
2.836937,1.082855,-1.097861,0.07018942,328.5492,239.0703,-1.964163E-06,-0.3826514,-0.04901606,-0.8054736,29.96506,57.94694,1.584329
2.970887,1.119292,-0.9812685,0.124918,332.1253,238.2405,7.06809E-08,-0.3859736,-0.04173992,-0.8045895,25.79584,58.22495,2.35328
3.106136,1.156745,-0.8706697,0.1529567,335.3609,238.2417,5.400781E-07,-0.3916387,-0.02994651,-0.8026328,22.23261,58.50595,3.441825
3.23524,-0.4332928,-1.541276,0.2821144,313.1494,96.17541,-7.419527E-07,-0.4016457,-0.02285504,-0.7994179,18.77704,58.53713,4.246971
3.36667,-0.4347674,-1.580622,0.2924545,311.3711,98.42982,-8.424268E-07,-0.4116086,-0.02206876,-0.7943452,17.46412,57.22041,4.763372
3.46739,-0.4322071,-1.617308,0.3012064,309.6425,100.761,4.14286E-07,-0.4282608,-0.01421906,-0.7946409,15.54867,58.49753,6.251266
3.599022,-0.3782178,-1.742163,0.3494916,303.1648,112.2814,-6.926888E-06,-0.4376806,-0.01026107,-0.7869226,14.26523,58.7022,5.234713
3.69903,-0.3782178,-1.742163,0.3494916,303.1648,112.2814,-6.926888E-06,-0.4487547,-0.01061859,-0.7771671,10.69316,55.8283,4.981743
3.80021,-0.3301831,-1.776874,0.4449048,300.9332,125.1246,6.098015E-07,-0.4507569,-0.005654663,-0.7653048,5.961029,49.42595,4.963485
3.932339,-0.2375464,-1.775577,0.5790081,300.5344,143.5522,-2.02333E-06,-0.4625399,0.0001543835,-0.7546564,3.111209,39.31118,3.079454
4.033667,-0.18975,-1.748124,0.6545515,301.826,152.2137,-4.320047E-06,-0.4666045,-0.001770683,-0.7503084,1.367433,32.84952,1.304185
4.133896,-0.1408826,-1.708171,0.7275686,303.7329,159.8379,5.734385E-07,-0.4681615,-0.002525128,-0.7440751,3.132998,32.88413,359.0293
4.266821,-0.0403861,-1.599554,0.857587,308.6589,171.9537,-5.224994E-07,-0.4733023,0.0007420108,-0.7604975,2.577115,29.76088,0.4699813
4.402668,0.05099027,-1.252438,0.75589,359.8632,170.1442,1.893005E-09,-0.4666741,-0.0002869032,-0.7799424,1.319853,25.42685,1.636731
4.534535,0.1010267,-1.081741,0.7640131,359.8632,170.1442,1.893005E-09,-0.4533675,0.001231786,-0.8119045,1.58862,22.24401,2.074519
4.665726,0.140622,-0.9372075,0.7705327,359.8643,170.1442,1.223616E-09,-0.4334309,0.001201157,-0.8516783,0.04923707,16.89391,2.999615
4.765973,0.1652566,-0.841074,0.7746248,359.8643,170.1442,1.064267E-10,-0.4101088,0.004417598,-0.8844896,357.6392,15.17918,3.286994
4.898876,0.1968853,-0.7329848,0.7799945,359.8643,170.1442,1.095092E-10,-0.386264,0.002874278,-0.9243767,1.014528,11.80588,3.070918
5.00141,0.2044321,-0.7095217,0.7812915,359.8643,170.1442,9.463572E-10,-0.3790025,0.003906537,-0.9479356,5.39559,12.67228,3.655092
5.133623,0.1498063,-0.6458517,0.7714571,359.8643,170.1442,1.223616E-09,-0.3853047,0.002482664,-0.9728709,6.316749,11.02645,3.044084
5.26633,0.09793633,-0.5898662,0.7621565,359.8643,170.1442,1.223616E-09,-0.4091645,0.01013252,-0.9988692,3.430401,6.677776,3.711027
5.400164,0.04113469,-0.5305346,0.7520089,359.8643,170.1442,1.064267E-10,-0.4389474,0.01333151,-1.019742,359.4888,357.5743,3.714027
5.53264,-0.07050647,-0.4244656,0.7321817,359.8656,170.1444,1.124333E-09,-0.4649351,0.01777166,-1.035462,356.3228,351.737,3.85404
5.665895,-0.1737054,-0.334821,0.7139328,359.8656,170.1444,2.874848E-10,-0.4844194,0.02092693,-1.058228,356.7701,351.2346,2.070721
5.766075,-0.2423955,-0.2729282,0.7018451,359.8656,170.1444,2.874848E-10,-0.5040953,0.02013781,-1.076925,352.6038,352.4254,1.947196
5.875296,-0.3048212,-0.2143471,0.6909189,359.8668,170.1444,2.751675E-09,-0.5194269,0.02306264,-1.094918,349.9158,352.3021,2.522382
6.005783,-0.3113635,-0.145103,0.6898818,359.8668,170.1444,2.751675E-09,-0.5366482,0.02095868,-1.105254,349.0252,358.4905,5.491698
6.133183,-0.3166137,-0.0613265,0.6893291,359.8668,170.1444,2.751675E-09,-0.5471209,0.02430082,-1.114792,346.5645,2.307348,4.652434
6.267515,-0.1540986,0.6188439,0.7209337,359.8668,170.1444,1.096474E-09,-0.5569251,0.02376942,-1.11494,346.0916,5.453191,4.968072
6.401165,-0.1221829,0.6311701,0.7265163,359.8668,170.1444,8.00622E-10,-0.5637937,0.02221712,-1.112216,346.7599,8.456898,5.079194
6.501389,-0.09266651,0.6402482,0.7317332,359.8668,170.1444,-3.006109E-11,-0.5626793,0.020636,-1.107476,347.9199,13.59377,4.928393
6.634905,-0.04931554,0.6199077,0.739377,359.8668,170.1444,2.751675E-09,-0.5513003,0.007529423,-1.093736,358.4693,27.08259,2.538671
6.766652,0.07041504,0.5345654,0.7602406,359.8668,170.1444,1.090309E-09,-0.5516369,0.007007085,-1.083411,2.5148,31.32298,4.62789
6.869911,0.1518008,0.4810741,0.7744871,359.8668,170.1444,1.090309E-09,-0.5416476,0.003727227,-1.076965,2.821442,34.03928,4.274535
7.000887,0.2256045,0.4090144,0.7873347,359.8668,170.1444,1.090309E-09,-0.5272862,-0.0002260506,-1.065467,5.715433,35.14309,4.035004
7.134841,0.2967317,0.3380598,0.7997409,359.8668,170.1444,1.090309E-09,-0.5017238,-0.009835394,-1.055661,11.40478,37.01605,3.440306
7.243108,0.3916048,0.1855076,0.8161346,359.8668,170.1444,2.751675E-09,-0.478673,-0.007564269,-1.052498,11.87866,37.57777,3.897302
7.373923,0.512072,-0.002072748,0.8370807,359.8668,170.1444,2.751675E-09,-0.4338769,-0.009904781,-1.048018,11.19341,36.27059,3.755686
7.500141,0.5889968,-0.1370608,0.8504642,359.8668,170.1444,1.090309E-09,-0.367016,-0.01243681,-1.041709,12.74334,33.58205,2.402221
7.634447,0.6527805,-0.3176855,0.8614333,359.8668,170.1444,1.090309E-09,-0.2889143,-0.01169593,-1.030682,14.52463,30.53661,1.581686
7.765929,0.675971,-0.4892369,0.8652342,359.8668,170.1444,1.090309E-09,-0.2217308,-0.01478081,-1.020131,17.06219,26.34957,359.7791
7.866224,0.6722012,-0.5712956,0.8644213,359.8668,170.1444,1.090309E-09,-0.1823355,-0.01546042,-1.01448,18.6357,23.52125,359.266
7.966408,0.6540192,-0.6879238,0.8614854,359.8764,170.1317,-8.322826E-10,-0.1527376,-0.01634422,-1.01386,19.94522,21.21465,359.4567
8.066453,0.6252545,-0.7761935,0.8562421,359.8764,170.1317,-1.607675E-12,-0.1300045,-0.01726142,-1.01601,19.4777,18.12582,359.4228
8.199497,0.6018127,-0.768099,0.8519898,359.8764,170.1317,-1.607675E-12,-0.1110958,-0.01653046,-1.021706,18.8197,13.67193,358.5493
