Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.1004954,-2.291258,-1.490811,-2.289116,305.9812,175.7659,2.025974E-07,-2.211261,0.1318657,-3.446299,22.44434,0.1780848,5.117483
0.2008476,-2.300307,-1.503569,-2.30566,305.353,175.1172,8.280341E-08,-2.212519,0.131119,-3.446376,22.47044,359.9054,5.308546
0.3375084,-2.312269,-1.512057,-2.316247,304.9344,174.3571,4.795832E-07,-2.213875,0.1313813,-3.446032,22.25418,359.2957,5.174731
0.4687353,-2.325701,-1.502356,-2.301444,305.4182,173.7001,-7.223749E-07,-2.215267,0.131008,-3.44646,22.41783,359.2633,5.337793
0.6025112,-2.329631,-1.501009,-2.299532,305.4834,173.4878,9.441932E-07,-2.216214,0.1302532,-3.446943,22.80441,359.2543,5.609741
0.7346725,-2.33758,-1.520101,-2.326176,304.537,172.8359,-3.462846E-07,-2.215661,0.130016,-3.446739,23.0153,359.6419,5.763216
0.8672623,-2.340132,-1.536607,-2.349527,303.7019,172.4657,2.332114E-07,-2.215117,0.1299077,-3.445221,23.01338,0.1102197,5.890974
1.000091,-2.341936,-1.550066,-2.368869,303.0094,172.1552,-2.145092E-07,-2.214668,0.1289658,-3.443361,23.40181,0.1021511,5.78963
1.100358,-2.341643,-1.558702,-2.381141,302.5608,172.0228,-1.082446E-06,-2.214492,0.1288016,-3.44255,23.41658,0.3274986,5.831398
1.233648,-2.339002,-1.569163,-2.395843,302.0115,171.981,-1.919346E-06,-2.214971,0.1293024,-3.441928,23.44292,0.3094743,5.911515
1.334488,-2.337442,-1.57152,-2.398311,301.8899,171.9984,4.498846E-07,-2.214613,0.1291134,-3.441576,23.26297,0.2131477,5.697313
1.436716,-2.326824,-1.555019,-2.369696,302.7691,172.722,5.893119E-07,-2.214961,0.1293696,-3.441967,22.66022,0.5972549,6.355139
1.55287,-2.317219,-1.537839,-2.341404,303.6585,173.3627,-1.460821E-07,-2.215473,0.1319289,-3.441793,22.20555,0.06961016,6.238097
1.668887,-2.270929,-1.521833,-2.312431,304.4783,175.952,3.246779E-07,-2.21585,0.1360387,-3.442593,19.80339,359.383,6.081616
1.800055,-2.276148,-1.501382,-2.283652,305.4608,175.8236,-8.183902E-07,-2.216716,0.1382402,-3.444524,17.24909,359.3333,6.264098
1.933566,-2.295276,-1.487135,-2.266682,306.0959,174.918,1.362969E-07,-2.217629,0.1389476,-3.446149,17.28949,359.0004,6.610181
2.067309,-2.313193,-1.471845,-2.249022,306.7762,174.1135,2.832244E-07,-2.217954,0.1386378,-3.44738,17.83467,359.1165,6.455738
2.202225,-2.338459,-1.465602,-2.244806,307.0307,172.9245,-1.685184E-07,-2.219522,0.1375921,-3.449018,18.22439,358.9897,6.555581
2.335233,-2.344486,-1.462852,-2.243066,307.1301,172.6492,6.073817E-07,-2.22157,0.1368975,-3.449967,18.47937,358.5113,6.351937
2.467063,-2.357833,-1.458428,-2.239907,307.3194,172.0582,-9.186586E-07,-2.223964,0.1356976,-3.450753,19.18079,358.4588,6.385134
2.599993,-2.372244,-1.437814,-2.215535,308.2842,171.5836,-7.5082E-07,-2.225754,0.1335545,-3.450618,20.4335,358.6132,6.372154
2.700439,-2.356959,-1.450691,-2.229801,307.6967,172.2766,2.100296E-07,-2.226531,0.1351843,-3.451965,20.90936,359.3379,6.293617
2.833655,-2.341501,-1.454015,-2.2326,307.5426,173.0084,1.511282E-07,-2.230499,0.1349026,-3.455054,19.3568,359.0544,6.485871
2.933778,-2.340187,-1.460323,-2.241402,307.2413,173.0563,2.511136E-07,-2.232031,0.1348536,-3.45717,19.18909,358.5945,6.586598
3.042918,-2.333617,-1.46219,-2.243597,307.1562,173.4704,-2.998835E-07,-2.234022,0.1372626,-3.458454,19.03784,358.5757,6.253682
3.167088,-2.329353,-1.463324,-2.245462,307.0992,173.7535,4.083926E-07,-2.235321,0.1359019,-3.462117,19.07305,358.788,6.644529
3.267101,-2.327084,-1.470803,-2.256036,306.7444,173.9512,-5.0454E-07,-2.234931,0.1367722,-3.465163,17.95465,359.2428,6.958327
3.367352,-2.33317,-1.475488,-2.264776,306.5025,173.6431,2.364181E-07,-2.234961,0.1359953,-3.469005,19.02262,359.185,6.859603
3.500141,-2.334351,-1.475455,-2.265655,306.4996,173.5931,-2.476182E-07,-2.236267,0.1378055,-3.474244,19.02935,359.1966,6.983857
3.633381,-2.3358,-1.480353,-2.275801,306.2438,173.5164,-2.438612E-07,-2.237396,0.1365444,-3.474418,18.85163,358.8068,7.109196
3.733435,-2.356871,-1.48585,-2.28814,305.9667,172.4681,8.694263E-07,-2.238588,0.1365544,-3.473653,19.44197,358.2423,6.814145
3.867158,-2.355856,-1.487383,-2.291345,305.8878,172.5228,-6.25624E-08,-2.236616,0.1354432,-3.474497,20.64729,358.2099,6.784938
3.96979,-2.351681,-1.492595,-2.299658,305.6331,172.7029,2.768487E-07,-2.235502,0.1364841,-3.476162,19.64194,358.5793,6.824807
4.099978,-2.343673,-1.494791,-2.303964,305.5193,173.0897,3.334595E-07,-2.231777,0.1366197,-3.477536,19.00383,358.1748,6.525166
4.200643,-2.343224,-1.497949,-2.310087,305.3577,173.0748,6.794824E-07,-2.227969,0.1379883,-3.478943,19.19625,358.7913,6.202523
4.334294,-2.353609,-1.492465,-2.30586,305.6173,172.5636,3.168198E-07,-2.220787,0.1359743,-3.476117,18.73339,357.6142,5.902351
