Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.1333002,-0.6540752,0.4127485,1.620757,359.8867,216.5867,9.271129E-10,-1.090056,0.8833886,-0.1175632,13.61061,17.37474,358.0082
0.2336333,-0.6773673,0.4381674,1.60837,0.1119296,189.3665,1.22503E-10,-1.098281,0.8884836,-0.1196644,13.01838,15.9425,359.1935
0.334104,-0.6947735,0.457568,1.611145,0.1119296,189.3665,1.22503E-10,-1.105424,0.8929631,-0.1217218,10.22368,13.82114,359.8495
0.4664045,-0.7202032,0.4838997,1.621834,359.5346,279.3656,4.525099E-09,-1.11569,0.8904988,-0.1252526,10.46352,8.511662,358.5993
0.6041343,-0.6008438,0.342173,2.351336,359.5346,279.3656,4.525099E-09,-1.126518,0.894506,-0.1266056,11.15979,4.764415,359.0696
0.708925,-0.6008438,0.342173,2.351336,359.5346,279.3656,4.525099E-09,-1.126186,0.8958119,-0.129405,8.468425,2.4109,359.5435
0.8344484,-0.6008438,0.342173,2.351336,359.5346,279.3656,4.525099E-09,-1.102431,0.8977498,-0.1407845,7.664898,15.22848,358.2136
0.9345126,-0.6008438,0.342173,2.351336,359.5346,279.3656,4.525099E-09,-1.092347,0.8975426,-0.1496979,7.369619,24.67307,356.1722
1.07149,-0.2163196,0.2806633,4.68503,359.5346,279.3656,4.525099E-09,-1.090725,0.8973252,-0.1543361,7.434399,29.00348,355.491
1.205526,-0.2269264,0.2949444,4.619869,359.5346,279.3656,4.525099E-09,-1.096406,0.8994668,-0.1533569,7.119668,28.15933,356.7778
1.333741,-0.2832853,0.3993119,4.273036,359.5346,279.3656,4.525099E-09,-1.100965,0.9021792,-0.1511031,5.24403,26.43727,357.4029
1.433915,-0.3653447,0.5219957,3.769671,359.5346,279.3656,4.525099E-09,-1.104299,0.8999106,-0.1512934,5.829659,27.21762,357.8403
1.53417,-0.7070193,0.9393613,1.679513,359.5346,279.3656,4.525099E-09,-1.110348,0.9018409,-0.1485374,5.603486,26.14332,358.1694
1.667833,-0.705499,0.9438474,1.688532,359.5346,279.3656,4.525099E-09,-1.115999,0.9008068,-0.1421535,5.359003,21.91808,358.0365
1.770322,-0.6133175,0.9578813,2.245525,359.5346,279.3656,4.525099E-09,-1.119316,0.9007165,-0.1398389,6.266529,20.98514,358.687
1.900351,-0.7743028,0.9455203,1.828612,1.276127,189.2772,-9.476046E-10,-1.126212,0.9011346,-0.138268,5.674029,18.28937,358.6991
2.036396,-1.249606,0.9341604,1.863616,0.949117,176.2675,-1.640217E-09,-1.1286,0.9004017,-0.1374327,6.069893,17.17783,358.9395
2.175246,-1.254891,0.9330044,1.86374,0.9162425,176.1458,4.722948E-10,-1.130877,0.8996572,-0.1356454,6.383262,17.20355,358.607
2.304518,-1.260092,0.9297307,1.864266,0.8269629,176.0367,3.902347E-09,-1.126771,0.8986001,-0.1338493,7.597469,18.21493,358.5193
2.438666,-1.260092,0.9297307,1.864266,0.8269629,176.0367,3.902347E-09,-1.124135,0.8966171,-0.1334076,8.357217,21.56534,358.6391
2.566816,-1.206621,0.9089721,1.867959,0.2397,177.5813,-2.138832E-11,-1.1188,0.89306,-0.1326304,9.753188,24.54195,357.0276
2.699825,-1.052916,0.8492573,1.869235,358.5533,181.9975,-1.283369E-09,-1.111519,0.8932883,-0.1328623,10.42585,27.8152,357.9803
