Timestamp, xPos, yPos, zPos, xRot, yRot, zRot, uxPos, uyPos, uzPos, uxRot, uyRot, uzRot
0.1093447,4.479008,0.712235,6.139939,2.422878,182.4402,5.328936E-09,1.246141,0.7548438,2.82451,358.9604,43.37827,7.916955
0.2387316,4.415735,0.5248785,6.150589,2.42288,182.4402,2.198252E-09,1.238927,0.7553591,2.814107,4.223945,43.62563,9.264517
0.3674435,4.581481,0.4095464,6.125554,1.421239,183.079,6.377339E-09,1.234369,0.755458,2.802863,5.090889,47.02131,9.946164
0.467764,4.916331,0.4038174,6.108364,1.421226,183.079,6.223964E-09,1.230858,0.7552533,2.796869,4.317798,50.32135,8.238717
0.5831421,2.726417,0.5671034,4.114778,354.5658,228.666,4.368212E-08,1.229501,0.7563953,2.79683,6.63619,49.14232,6.867884
0.7064926,5.166306,0.6526725,6.089242,1.421226,183.079,2.629011E-08,1.222883,0.7713335,2.791196,355.9359,51.39207,13.25999
0.8320814,5.346649,0.7184807,6.078256,1.42124,183.079,3.108453E-09,1.219833,0.7690529,2.792532,0.5191279,51.457,7.503743
0.9321528,5.004166,0.8540223,6.112737,2.42288,182.4402,2.151673E-09,1.228642,0.7609266,2.788004,359.1033,48.67578,9.325266
1.032599,0.571376,-0.6897349,2.556227,319.6191,63.18192,2.486669E-06,1.231226,0.7567175,2.78601,6.771284,51.63819,8.040345
1.132648,0.571376,-0.6897349,2.556227,319.6191,63.18192,2.486669E-06,1.231623,0.7526371,2.780133,6.457661,51.98892,9.082005
1.23293,0.571376,-0.6897349,2.556227,319.6191,63.18192,2.486669E-06,1.236168,0.7537051,2.776401,6.559831,52.75586,8.362335
1.333435,0.571376,-0.6897349,2.556227,319.6191,63.18192,2.486669E-06,1.238749,0.7556323,2.775282,5.17962,53.94404,8.279232
1.467549,0.577924,-0.7588301,2.557337,316.5322,63.33611,-1.638549E-06,1.232455,0.7435199,2.776608,1.012891,50.92657,5.978043
1.598556,0.5983261,-0.9002684,2.648998,309.7803,67.2612,-4.576201E-06,1.224581,0.743253,2.78183,8.165545,48.96249,6.633909
1.698737,0.6411421,-0.9996248,2.746505,304.4702,71.68967,1.212296E-05,1.22474,0.7437807,2.779055,6.733822,51.52377,0.5501851
1.801223,5.031838,0.8541179,6.090783,1.417508,183.0784,1.018725E-11,1.222993,0.7454128,2.7734,9.354701,47.82244,7.496135
1.932223,5.015508,0.846339,6.095885,306.147,271.1371,-1.618192E-06,1.223675,0.7501166,2.776182,7.068973,43.98988,4.617568
2.066175,5.013461,0.8448244,6.103717,306.147,271.1371,-3.794178E-06,1.212431,0.7558095,2.775183,5.965958,41.72663,6.78855
2.166207,4.96049,0.8251648,6.115616,2.419031,182.4394,-1.022533E-06,1.20227,0.7484155,2.774674,7.215439,39.83525,7.190783
2.267754,4.803059,0.7598571,6.124886,2.419031,182.4394,1.736091E-09,1.189098,0.756727,2.772609,8.561712,37.29123,6.079816
2.398652,3.71391,0.3559386,6.186192,2.415194,182.4394,5.234128E-09,1.179924,0.7473153,2.779288,8.796095,30.1093,4.690974
2.499283,3.688139,0.3269106,6.188496,2.415193,182.4394,1.774822E-09,1.182076,0.7385974,2.792764,13.67756,27.6341,4.402366
2.633533,3.588846,0.2199018,6.197098,2.415193,182.4394,1.765838E-09,1.191098,0.7343017,2.811419,17.93863,25.09248,2.658713
2.767929,3.227326,-0.5285344,6.69345,306.1485,271.1425,-1.042416E-06,1.20387,0.7288649,2.826488,17.38884,23.48674,2.150963
2.899927,3.201943,-0.5461434,6.638768,306.1485,271.1425,-1.042416E-06,1.214819,0.7168487,2.835037,24.48443,24.74852,358.8918
3.001867,3.165889,-0.5705101,6.549428,306.1485,271.1425,-1.042416E-06,1.224899,0.7153589,2.842933,26.44617,24.80264,359.9882
3.132153,3.137703,-0.589933,6.471583,306.1485,271.1425,1.133642E-06,1.226189,0.7083195,2.85453,24.09667,25.22292,358.6536
